"","bestCostByT","temperatures"
"1",150258937,14718890.835
"2",161182124,14571701.92665
"3",149080815,14425984.9073835
"4",149222888,14281725.0583097
"5",148707651,14138907.8077266
"6",150147825,13997518.7296493
"7",149401779,13857543.5423528
"8",153557463,13718968.1069293
"9",149702502,13581778.42586
"10",149698212,13445960.6416014
"11",150702849,13311501.0351854
"12",158374705,13178386.0248335
"13",153848263,13046602.1645852
"14",151764172,12916136.1429393
"15",149121868,12786974.7815099
"16",150103311,12659105.0336948
"17",148936067,12532513.9833579
"18",148803122,12407188.8435243
"19",148374105,12283116.9550891
"20",149557193,12160285.7855382
"21",150295824,12038682.9276828
"22",157077852,11918296.098406
"23",149378045,11799113.1374219
"24",148923722,11681122.0060477
"25",149333489,11564310.7859872
"26",149295022,11448667.6781273
"27",149827919,11334181.0013461
"28",148784012,11220839.1913326
"29",151423316,11108630.7994193
"30",148690674,10997544.4914251
"31",154121007,10887569.0465108
"32",152502119,10778693.3560457
"33",150305692,10670906.4224853
"34",149590015,10564197.3582604
"35",148922048,10458555.3846778
"36",148922897,10353969.830831
"37",149087939,10250430.1325227
"38",150507220,10147925.8311975
"39",149142998,10046446.5728855
"40",152132366,9945982.10715667
"41",150071471,9846522.2860851
"42",152706499,9748057.06322425
"43",149356523,9650576.49259201
"44",151972203,9554070.72766609
"45",152390815,9458530.02038943
"46",157174608,9363944.72018553
"47",150500404,9270305.27298368
"48",149325386,9177602.22025384
"49",149503191,9085826.1980513
"50",149471479,8994967.93607079
"51",149198152,8905018.25671008
"52",149156340,8815968.07414298
"53",149280872,8727808.39340155
"54",148874197,8640530.30946754
"55",148726679,8554125.00637286
"56",149255373,8468583.75630913
"57",148855982,8383897.91874604
"58",148621464,8300058.93955858
"59",150794180,8217058.35016299
"60",149196926,8134887.76666136
"61",150346447,8053538.88899475
"62",148883487,7973003.5001048
"63",148751492,7893273.46510375
"64",150479401,7814340.73045272
"65",151546646,7736197.32314819
"66",149000205,7658835.34991671
"67",154988378,7582246.99641754
"68",152328073,7506424.52645336
"69",149077469,7431360.28118883
"70",148755049,7357046.67837694
"71",149101405,7283476.21159317
"72",149019467,7210641.44947724
"73",147444393,7138535.03498247
"74",149913854,7067149.68463264
"75",148844090,6996478.18778632
"76",148894579,6926513.40590845
"77",150093640,6857248.27184937
"78",148735742,6788675.78913087
"79",149771607,6720789.03123957
"80",150942967,6653581.14092717
"81",149842492,6587045.3295179
"82",148906701,6521174.87622272
"83",151733621,6455963.12746049
"84",148872203,6391403.49618589
"85",151445539,6327489.46122403
"86",149047195,6264214.56661179
"87",149269965,6201572.42094567
"88",148980321,6139556.69673621
"89",149765861,6078161.12976885
"90",148725092,6017379.51847116
"91",149418123,5957205.72328645
"92",150079256,5897633.66605359
"93",148847403,5838657.32939305
"94",151181130,5780270.75609912
"95",148645718,5722468.04853813
"96",149578630,5665243.36805275
"97",149750771,5608590.93437222
"98",149357126,5552505.0250285
"99",151978551,5496979.97477821
"100",150812546,5442010.17503043
"101",151287323,5387590.07328012
"102",154502996,5333714.17254732
"103",150003179,5280377.03082185
"104",153146660,5227573.26051363
"105",149027379,5175297.5279085
"106",148886992,5123544.55262941
"107",148698237,5072309.10710312
