# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      108.059     1346.297
       1.002       99.800      148.406     1394.629
       2.003      100.800      155.863     1394.629
       3.005       99.800      155.473     1394.629
       4.006       99.800      156.336     1394.629
       5.008      100.800      152.426     1394.777
       6.009       98.800      155.902     1394.777
       7.011      100.800      155.867     1394.629
       8.012       99.800      153.215     1394.777
       9.014       98.800      152.359     1394.629
      10.015      100.800      156.125     1394.629
      11.017       99.900      156.473     1394.629
      12.018      100.800      153.594     1394.629
      13.020       98.800      152.301     1394.629
      14.022       99.800      156.047     1394.629
      15.023      100.800      155.777     1394.777
      16.025       98.800      154.512     1394.629
      17.026      100.800      152.941     1394.777
      18.028       99.800      156.254     1394.777
      19.029       99.800      155.645     1394.629
      20.031      100.800      155.430     1394.559
      21.032       98.800      156.363     1394.703
      22.034      100.800      156.363     1394.703
      23.035       99.800      154.184     1394.750
      24.037       99.800      155.430     1394.656
      25.038       99.800      154.613     1394.512
      26.040       99.800      156.160     1394.656
      27.042       99.800      155.922     1394.656
      28.043      100.800      155.664     1394.656
      29.045       99.800      150.676     1394.582
      30.046       99.800      156.016     1394.582
      31.048       99.800      155.410     1394.703
      32.049       99.800      149.492     1394.703
      33.051       99.800      155.164     1394.703
      34.052      100.800      156.195     1394.703
      35.054       99.800      156.234     1394.703
      36.056       99.800      151.039     1394.703
      37.057       99.800      153.152     1394.535
      38.059      100.800      156.246     1394.680
      39.060       98.800      155.832     1394.680
      40.062      100.800      154.801     1394.680
      41.063       98.800      153.254     1394.680
      42.065       99.800      150.160     1394.680
      43.067      100.800      156.090     1394.680
      44.068       99.800      154.543     1394.680
      45.070       99.800      154.641     1394.777
      46.071       99.800      152.707     1390.859
      47.073       99.800      156.055     1394.777
      48.074      100.800      155.559     1394.629
      49.076       99.800      156.391     1394.629
      50.077       99.800      156.453     1394.777
      51.079       99.800      156.496     1394.777
      52.081       99.800      156.496     1394.777
      53.082       99.800      156.496     1394.777
      54.084       99.800      156.496     1394.777
      55.085       99.800      156.496     1394.777
      56.087      100.800      156.496     1394.777
      57.088       99.800      156.496     1394.777
      58.090       99.800      156.496     1394.777
      59.091       99.800      156.496     1394.777
      60.093       99.800      156.496     1394.777
      61.095      100.800      154.699     1394.750
      62.096       98.800      152.637     1394.605
      63.098      100.800      150.371     1388.781
      64.099       99.800      156.039     1394.582
      65.101      100.800      155.285     1394.727
      66.102       98.800      154.512     1394.582
      67.104      100.800      156.316     1394.727
      68.106       99.800      156.316     1394.727
      69.107       99.800      153.055     1394.801
      70.109       99.800      149.188     1394.656
      71.110      100.800      146.352     1394.512
      72.112       98.800      154.859     1394.656
      73.113      100.800      156.406     1394.656
      74.115       99.800      155.059     1394.582
      75.117       99.800      156.348     1394.727
      76.118       99.800      156.348     1394.727
      77.120       99.800      154.867     1394.582
      78.121       99.800      153.578     1394.727
      79.123      100.800      150.227     1394.582
      80.124       98.800      156.035     1394.727
