# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      107.031     1345.297
       1.002       99.900      126.234     1365.574
       2.002       99.900      126.945     1365.574
       3.004       99.900      127.195     1365.574
       4.004       99.900      127.262     1365.574
       5.005      100.900      127.266     1365.574
       6.007       98.900      127.336     1365.574
       7.007      100.000      127.344     1365.574
       8.009      100.900      127.367     1365.707
       9.010       99.900      127.504     1365.836
      10.011      100.900      127.562     1365.836
      11.013       99.900      127.570     1365.836
      12.014       99.900      127.570     1365.836
      13.016       99.900      127.578     1365.836
      14.017       99.900      127.617     1365.836
      15.019       99.900      127.617     1365.836
      16.020       99.800      127.641     1365.836
      17.022       99.900      127.641     1365.836
      18.023       99.900      127.738     1365.965
      19.025       99.900      127.738     1365.965
      20.026      100.800      127.746     1365.965
      21.028       98.900      127.746     1365.965
      22.028       99.900      127.746     1365.965
      23.030      100.900      127.746     1365.965
      24.031       99.900      127.746     1365.965
      25.033      100.900      127.746     1365.965
      26.034       99.900      127.746     1365.965
      27.035       99.900      127.746     1365.965
      28.037       99.800      127.746     1365.965
      29.038       99.900      127.746     1365.965
      30.040       99.900      127.746     1365.965
      31.041       99.900      127.746     1365.965
      32.043       99.900      127.746     1365.965
      33.044      100.900      127.746     1365.965
      34.046       99.900      127.746     1365.965
      35.047       99.800      127.746     1365.965
      36.049       99.900      127.746     1365.965
      37.050       99.900      127.746     1365.965
      38.052       99.900      127.746     1365.965
      39.053       99.900      127.746     1365.965
      40.055       99.900      127.746     1365.965
      41.056      100.900      127.746     1365.965
      42.058       99.900      127.746     1365.965
      43.059       99.900      127.746     1365.965
      44.061       99.900      127.746     1365.965
      45.062      100.800      127.746     1365.965
      46.063       99.900      127.746     1365.965
      47.064       99.900      127.746     1365.965
      48.066       99.800      127.746     1365.965
      49.067       99.900      127.746     1365.965
      50.068       99.900      127.746     1365.965
      51.069       99.900      127.746     1365.965
      52.070       99.900      127.746     1365.965
      53.071       99.900      127.746     1365.965
      54.072       99.900      127.746     1365.965
      55.073       99.900      127.746     1365.965
      56.074       99.900      127.754     1365.965
      57.075       99.900      127.754     1365.965
      58.076      100.900      127.754     1365.965
      59.077       98.900      127.754     1365.965
      60.078       99.900      127.754     1365.965
      61.079      100.900      127.754     1365.965
      62.080       99.900      127.754     1365.965
      63.081       99.900      127.754     1365.965
      64.082      100.900      127.754     1365.965
      65.083       99.900      127.754     1365.965
      66.084      100.000      127.754     1365.965
      67.084       99.000      127.754     1365.965
      68.085       99.900      127.754     1365.965
